Solving instance /mnt/c/Users/bruno.mattos/OneDrive - americanas s.a/Documentos/GitHub/GenericILS/TWRD/100/RC205_100_025.vrptwrd...
------------------------------------------------------------------------------------------------------------------------------------------------
|  Restart |  Iteration |  Best Feas. Cost |    Best Cost |   Curr. Cost |   Penalty Custom Res. |   Penalty Standard Res. |   Pool |   Time (s) |
|        1 |         64 |          1184.30 |      1184.30 |      1195.40 |                  5.00 |                    5.00 |    120 |     7.5531 |
|        1 |         65 |          1184.30 |      1184.30 |      1203.20 |                  5.00 |                    5.00 |    122 |     7.6442 |
|        1 |         66 |          1184.30 |      1184.30 |      1221.90 |                  5.00 |                    5.00 |    123 |     7.7338 |
|        1 |         67 |          1184.30 |      1184.30 |      1226.70 |                  5.00 |                    5.00 |    127 |     7.9153 |
|        1 |         68 |          1184.30 |      1184.30 |      1226.70 |                  5.00 |                    5.00 |    127 |     8.0136 |
|        1 |         69 |          1184.30 |      1184.30 |      1208.20 |                  5.00 |                    5.00 |    128 |     8.1124 |
|        1 |         70 |          1184.30 |      1184.30 |      1210.60 |                  5.00 |                    5.00 |    131 |     8.2504 |
|        1 |         71 |          1184.30 |      1184.30 |      1221.60 |                  5.00 |                    5.00 |    132 |     8.3846 |
|        1 |         72 |          1184.30 |      1184.30 |      1221.60 |                  5.00 |                    5.00 |    132 |     8.4861 |
|        1 |         73 |          1184.30 |      1184.30 |      1221.60 |                  5.00 |                    6.04 |    132 |     8.5551 |
|        1 |         74 |          1184.30 |      1184.30 |      1216.30 |                  5.00 |                    5.00 |    132 |     8.6419 |
|        1 |         75 |          1184.30 |      1184.30 |      1197.10 |                  5.00 |                    5.00 |    132 |     8.8442 |
|        1 |         76 |          1184.30 |      1184.30 |      1198.20 |                  5.00 |                    5.00 |    132 |     8.9010 |
|        1 |         77 |          1184.30 |      1184.30 |      1196.40 |                  5.00 |                    5.00 |    133 |     9.0422 |
|        1 |         78 |          1184.30 |      1184.30 |      1231.20 |                  5.00 |                    5.00 |    139 |     9.1354 |
|        1 |         79 |          1184.30 |      1184.30 |      1211.40 |                  5.00 |                    5.00 |    139 |     9.2015 |
|        1 |         80 |          1184.30 |      1184.30 |      1231.40 |                  5.00 |                    5.00 |    139 |     9.2552 |
|        1 |         81 |          1184.30 |      1184.30 |      1230.00 |                  5.00 |                    6.52 |    144 |     9.3438 |
|        1 |         82 |          1184.30 |      1184.30 |      1218.10 |                  5.00 |                    5.00 |    148 |     9.4588 |
|        1 |         83 |          1184.30 |      1184.30 |      1237.63 |                  5.00 |                   11.63 |    150 |     9.6041 |
|        1 |         84 |          1184.30 |      1184.30 |      1212.83 |                  5.00 |                   17.57 |    153 |     9.7336 |
|        1 |         85 |          1184.30 |      1184.30 |      1199.50 |                  5.00 |                   10.10 |    155 |     9.8102 |
|        1 |         86 |          1184.30 |      1184.30 |      1199.50 |                  5.00 |                    5.70 |    155 |     9.8715 |
|        1 |         87 |          1184.30 |      1184.30 |      1222.20 |                  5.00 |                    5.00 |    157 |     9.9371 |
|        1 |         88 |          1184.30 |      1184.30 |      1201.71 |                  5.00 |                   11.77 |    161 |    10.0415 |
|        1 |         89 |          1184.30 |      1184.30 |      1203.70 |                  5.00 |                    6.50 |    161 |    10.0988 |
|        1 |         90 |          1184.30 |      1184.30 |      1203.70 |                  5.00 |                    5.00 |    161 |    10.1501 |
|        1 |         91 |          1184.30 |      1184.30 |      1201.75 |                  5.00 |                    6.35 |    161 |    10.2032 |
|        1 |         92 |          1184.30 |      1184.30 |      1210.32 |                  5.00 |                    5.95 |    161 |    10.2732 |
|        1 |         93 |          1184.30 |      1184.30 |      1211.90 |                  5.00 |                    5.00 |    161 |    10.3267 |
|        1 |         94 |          1184.30 |      1184.30 |      1202.80 |                  5.00 |                    6.94 |    164 |    10.4468 |
|        1 |         95 |          1184.30 |      1184.30 |      1186.80 |                  5.00 |                    5.00 |    165 |    10.5197 |
|        1 |          0 |          1181.80 |      1181.80 |      1181.80 |                  5.00 |                    5.00 |    165 |    10.6037 |
|        1 |          1 |          1181.80 |      1181.80 |      1213.40 |                  5.00 |                    5.00 |    170 |    10.7020 |
|        1 |          2 |          1181.80 |      1181.80 |      1213.40 |                  5.00 |                    5.00 |    170 |    10.7622 |
|        1 |          3 |          1181.80 |      1181.80 |      1213.40 |                  5.00 |                    5.00 |    170 |    10.8276 |
|        1 |          4 |          1181.80 |      1181.80 |      1213.40 |                  5.00 |                    5.00 |    170 |    10.8827 |
|        1 |          5 |          1181.80 |      1181.80 |      1213.40 |                  5.00 |                    5.00 |    170 |    10.9424 |
|        1 |          6 |          1181.80 |      1181.80 |      1213.40 |                  5.00 |                    5.00 |    170 |    10.9894 |
|        1 |          7 |          1181.80 |      1181.80 |      1219.90 |                  5.00 |                    5.00 |    173 |    11.1030 |
|        1 |          8 |          1181.80 |      1181.80 |      1219.60 |                  5.00 |                    5.00 |    173 |    11.1515 |
|        1 |          9 |          1181.80 |      1181.80 |      1206.70 |                  5.00 |                    5.00 |    177 |    11.2472 |
|        1 |         10 |          1181.80 |      1181.80 |      1206.70 |                  5.00 |                    5.00 |    177 |    11.2841 |
|        1 |         11 |          1181.80 |      1181.80 |      1206.70 |                  5.00 |                    6.28 |    177 |    11.3444 |
|        1 |         12 |          1181.80 |      1181.80 |      1206.70 |                  5.00 |                    5.00 |    177 |    11.4024 |
|        1 |         13 |          1181.80 |      1181.80 |      1223.90 |                  5.00 |                    6.30 |    183 |    11.5497 |
|        1 |         14 |          1181.80 |      1181.80 |      1225.13 |                  5.00 |                    6.14 |    185 |    11.6117 |
|        1 |         15 |          1181.80 |      1181.80 |      1220.70 |                  5.00 |                    5.80 |    190 |    11.7050 |
|        1 |         16 |          1181.80 |      1181.80 |      1220.30 |                  5.00 |                    6.27 |    190 |    11.7442 |
|        1 |         17 |          1181.80 |      1181.80 |      1249.38 |                  5.00 |                    5.86 |    193 |    11.8496 |
|        1 |         18 |          1181.80 |      1181.80 |      1242.87 |                  5.00 |                    6.02 |    197 |    12.0386 |
|        1 |         19 |          1181.80 |      1181.80 |      1242.69 |                  5.00 |                    5.99 |    197 |    12.1062 |
|        1 |         20 |          1181.80 |      1181.80 |      1270.30 |                  5.00 |                    5.00 |    200 |    12.1702 |
|        1 |         21 |          1181.80 |      1181.80 |      1268.00 |                  5.00 |                    5.00 |    203 |    12.2647 |
|        1 |         22 |          1181.80 |      1181.80 |      1262.60 |                  5.00 |                    5.00 |    209 |    12.3897 |
|        1 |         23 |          1181.80 |      1181.80 |      1265.60 |                  5.00 |                    5.00 |    212 |    12.4867 |
|        1 |         24 |          1181.80 |      1181.80 |      1234.73 |                  5.00 |                   14.79 |    214 |    12.6406 |
|        1 |         25 |          1181.80 |      1181.80 |      1226.50 |                  5.00 |                    7.60 |    215 |    12.7347 |
|        1 |         26 |          1181.80 |      1181.80 |      1219.40 |                  5.00 |                    5.00 |    217 |    12.7956 |
|        1 |         27 |          1181.80 |      1181.80 |      1214.70 |                  5.00 |                    5.00 |    217 |    12.8466 |
|        1 |         28 |          1181.80 |      1181.80 |      1214.70 |                  5.00 |                    5.00 |    217 |    12.8991 |
|        1 |         29 |          1181.80 |      1181.80 |      1214.70 |                  5.00 |                    5.00 |    217 |    12.9397 |
|        1 |         30 |          1181.80 |      1181.80 |      1214.70 |                  5.00 |                    5.00 |    217 |    12.9952 |
|        1 |         31 |          1181.80 |      1181.80 |      1214.70 |                  5.00 |                    5.00 |    217 |    13.0550 |
|        1 |         32 |          1181.80 |      1181.80 |      1251.20 |                  5.00 |                    5.00 |    220 |    13.1210 |
|        1 |         33 |          1181.80 |      1181.80 |      1249.20 |                  5.00 |                    5.00 |    221 |    13.1609 |
|        1 |         34 |          1181.80 |      1181.80 |      1249.20 |                  5.00 |                    5.26 |    221 |    13.2092 |
|        1 |         35 |          1181.80 |      1181.80 |      1262.60 |                  5.00 |                    5.00 |    223 |    13.2774 |
|        1 |         36 |          1181.80 |      1181.80 |      1262.60 |                  5.00 |                    5.00 |    223 |    13.3282 |
|        1 |         37 |          1181.80 |      1181.80 |      1278.80 |                  5.00 |                    5.00 |    225 |    13.3794 |
|        1 |         38 |          1181.80 |      1181.80 |      1235.90 |                  5.00 |                    5.00 |    226 |    13.4663 |
|        1 |         39 |          1181.80 |      1181.80 |      1235.40 |                  5.00 |                    5.00 |    226 |    13.5224 |
|        1 |         40 |          1181.80 |      1181.80 |      1235.70 |                  5.00 |                    5.00 |    226 |    13.5765 |
|        1 |         41 |          1181.80 |      1181.80 |      1235.70 |                  5.00 |                    5.00 |    226 |    13.6392 |
|        1 |         42 |          1181.80 |      1181.80 |      1235.70 |                  5.00 |                    5.04 |    226 |    13.6924 |
|        1 |         43 |          1181.80 |      1181.80 |      1260.30 |                  5.00 |                    5.00 |    229 |    13.7494 |
|        1 |         44 |          1181.80 |      1181.80 |      1260.30 |                  5.00 |                    5.00 |    229 |    13.8018 |
|        1 |         45 |          1181.80 |      1181.80 |      1236.50 |                  5.00 |                    5.00 |    233 |    13.9110 |
|        1 |         46 |          1181.80 |      1181.80 |      1232.20 |                  5.00 |                    5.26 |    233 |    13.9707 |
|        1 |         47 |          1181.80 |      1181.80 |      1257.30 |                  5.00 |                    5.00 |    234 |    14.0406 |
|        1 |         48 |          1181.80 |      1181.80 |      1265.00 |                  5.00 |                    5.26 |    235 |    14.0976 |
|        1 |         49 |          1181.80 |      1181.80 |      1229.50 |                  5.00 |                    5.00 |    238 |    14.2020 |
|        1 |         50 |          1181.80 |      1181.80 |      1229.50 |                  5.00 |                    5.00 |    238 |    14.2589 |
|        1 |         51 |          1181.80 |      1181.80 |      1228.50 |                  5.00 |                    5.26 |    239 |    14.3165 |
|        1 |         52 |          1181.80 |      1181.80 |      1235.60 |                  6.81 |                    5.00 |    239 |    14.3901 |
|        1 |         53 |          1181.80 |      1181.80 |      1236.70 |                  5.00 |                    5.52 |    242 |    14.4623 |
|        1 |         54 |          1181.80 |      1181.80 |      1218.32 |                  5.00 |                    8.14 |    242 |    14.5591 |
|        1 |         55 |          1181.80 |      1181.80 |      1240.40 |                  5.00 |                    5.00 |    244 |    14.6613 |
|        1 |         56 |          1181.80 |      1181.80 |      1200.40 |                  5.00 |                    5.00 |    245 |    14.7430 |
|        1 |         57 |          1181.80 |      1181.80 |      1196.50 |                  5.00 |                    6.29 |    250 |    14.8132 |
|        1 |         58 |          1181.80 |      1181.80 |      1196.50 |                  5.00 |                    5.00 |    250 |    14.8591 |
|        1 |         59 |          1181.80 |      1181.80 |      1190.30 |                  5.00 |                    5.00 |    250 |    14.9036 |
|        1 |         60 |          1181.80 |      1181.80 |      1222.60 |                  5.00 |                    5.61 |    250 |    14.9750 |
|        1 |         61 |          1181.80 |      1181.80 |      1222.60 |                  5.00 |                    5.00 |    250 |    15.0225 |
|        1 |         62 |          1181.80 |      1181.80 |      1218.90 |                  5.00 |                    5.00 |    250 |    15.1004 |
|        1 |         63 |          1181.80 |      1181.80 |      1234.00 |                  5.00 |                    5.00 |    252 |    15.1786 |
|        1 |         64 |          1181.80 |      1181.80 |      1218.20 |                  5.00 |                    5.00 |    256 |    15.3118 |
|        1 |         65 |          1181.80 |      1181.80 |      1218.20 |                  5.00 |                    5.00 |    256 |    15.3723 |
|        1 |         66 |          1181.80 |      1181.80 |      1218.20 |                  5.00 |                    5.00 |    256 |    15.4415 |
|        1 |         67 |          1181.80 |      1181.80 |      1218.90 |                  5.00 |                    5.26 |    260 |    15.5582 |
|        1 |         68 |          1181.80 |      1181.80 |      1218.90 |                  5.00 |                    5.63 |    260 |    15.6130 |
|        1 |         69 |          1181.80 |      1181.80 |      1221.30 |                  5.00 |                    5.26 |    262 |    15.6937 |
|        1 |         70 |          1181.80 |      1181.80 |      1231.30 |                  5.00 |                    5.00 |    265 |    15.8180 |
|        1 |         71 |          1181.80 |      1181.80 |      1217.90 |                  5.00 |                    5.00 |    267 |    15.9976 |
|        1 |         72 |          1181.80 |      1181.80 |      1221.40 |                  5.00 |                    5.00 |    267 |    16.1215 |
|        1 |         73 |          1181.80 |      1181.80 |      1221.40 |                  5.00 |                    5.00 |    267 |    16.1809 |
|        1 |         74 |          1181.80 |      1181.80 |      1247.00 |                  5.00 |                    5.00 |    270 |    16.2427 |
|        1 |         75 |          1181.80 |      1181.80 |      1247.00 |                  5.00 |                    5.26 |    270 |    16.3205 |
|        1 |         76 |          1181.80 |      1181.80 |      1235.70 |                  5.00 |                    5.00 |    273 |    16.3916 |
|        1 |         77 |          1181.80 |      1181.80 |      1221.40 |                  5.00 |                    5.00 |    273 |    16.4845 |
|        1 |         78 |          1181.80 |      1181.80 |      1242.90 |                  5.00 |                    5.00 |    274 |    16.5421 |
|        1 |         79 |          1181.80 |      1181.80 |      1221.40 |                  5.00 |                    5.00 |    274 |    16.6565 |
|        1 |         80 |          1181.80 |      1181.80 |      1219.10 |                  5.00 |                    5.00 |    276 |    16.7670 |
|        1 |         81 |          1181.80 |      1181.80 |      1237.40 |                  5.00 |                    5.00 |    279 |    16.9233 |
|        1 |         82 |          1181.80 |      1181.80 |      1237.40 |                  5.00 |                    5.00 |    279 |    16.9854 |
|        1 |         83 |          1181.80 |      1181.80 |      1237.40 |                  5.00 |                    5.00 |    279 |    17.0339 |
|        1 |         84 |          1181.80 |      1181.80 |      1221.40 |                  5.00 |                    5.00 |    284 |    17.1462 |
|        1 |         85 |          1181.80 |      1181.80 |      1227.80 |                  5.00 |                    5.00 |    285 |    17.2138 |
|        1 |         86 |          1181.80 |      1181.80 |      1214.90 |                  5.00 |                    5.00 |    286 |    17.2935 |
|        1 |         87 |          1181.80 |      1181.80 |      1217.30 |                  5.00 |                    7.15 |    289 |    17.4577 |
|        1 |         88 |          1181.80 |      1181.80 |      1213.20 |                  5.00 |                    5.00 |    291 |    17.5158 |
|        1 |         89 |          1181.80 |      1181.80 |      1231.30 |                  5.00 |                    7.67 |    291 |    17.5853 |
|        1 |         90 |          1181.80 |      1181.80 |      1231.30 |                  5.00 |                    8.12 |    291 |    17.6271 |
|        1 |         91 |          1181.80 |      1181.80 |      1233.00 |                  5.00 |                    5.00 |    292 |    17.7065 |
|        1 |         92 |          1181.80 |      1181.80 |      1285.90 |                  5.00 |                    5.00 |    293 |    17.8049 |
|        1 |         93 |          1181.80 |      1181.80 |      1285.90 |                  5.00 |                    5.00 |    293 |    17.8717 |
|        1 |         94 |          1181.80 |      1181.80 |      1285.90 |                  5.00 |                    5.00 |    293 |    17.9382 |
|        1 |         95 |          1181.80 |      1181.80 |      1253.50 |                  5.00 |                    5.04 |    295 |    18.0373 |
|        1 |         96 |          1181.80 |      1181.80 |      1253.50 |                  5.00 |                    5.00 |    295 |    18.0868 |
|        1 |         97 |          1181.80 |      1181.80 |      1251.70 |                  5.00 |                    5.00 |    297 |    18.1766 |
|        1 |         98 |          1181.80 |      1181.80 |      1189.40 |                  5.00 |                    5.00 |    302 |    18.3540 |
|        1 |         99 |          1181.80 |      1181.80 |      1189.40 |                  5.00 |                    5.00 |    302 |    18.4279 |
|        1 |        100 |          1181.80 |      1181.80 |      1189.40 |                  5.00 |                    5.00 |    302 |    18.4936 |
|        1 |        101 |          1181.80 |      1181.80 |      1191.90 |                  5.00 |                    5.00 |    305 |    18.5565 |
|        1 |        102 |          1181.80 |      1181.80 |      1189.50 |                  5.00 |                    5.00 |    306 |    18.6241 |
|        1 |        103 |          1181.80 |      1181.80 |      1197.70 |                  5.00 |                    5.00 |    307 |    18.6785 |
|        1 |        104 |          1181.80 |      1181.80 |      1215.90 |                  5.00 |                    5.00 |    308 |    18.7408 |
|        1 |        105 |          1181.80 |      1181.80 |      1215.90 |                  5.00 |                    5.00 |    308 |    18.8067 |
|        1 |        106 |          1181.80 |      1181.80 |      1246.80 |                  5.00 |                    5.00 |    315 |    18.9259 |
|        1 |        107 |          1181.80 |      1181.80 |      1240.10 |                  5.00 |                    5.00 |    319 |    19.0009 |
|        1 |        108 |          1181.80 |      1181.80 |      1240.10 |                  5.00 |                    6.09 |    321 |    19.0697 |
|        1 |        109 |          1181.80 |      1181.80 |      1244.10 |                  5.00 |                    5.52 |    324 |    19.1256 |
|        1 |        110 |          1181.80 |      1181.80 |      1216.80 |                  5.00 |                    5.00 |    326 |    19.2475 |
|        1 |        111 |          1181.80 |      1181.80 |      1240.60 |                  5.00 |                    5.00 |    327 |    19.2989 |
|        1 |        112 |          1181.80 |      1181.80 |      1240.60 |                  5.00 |                    5.58 |    327 |    19.3424 |
|        1 |        113 |          1181.80 |      1181.80 |      1233.90 |                  5.00 |                    5.00 |    328 |    19.4773 |
|        1 |        114 |          1181.80 |      1181.80 |      1209.00 |                  5.00 |                    5.00 |    330 |    19.5527 |
|        1 |        115 |          1181.80 |      1181.80 |      1207.30 |                  5.00 |                    5.00 |    331 |    19.6636 |
|        1 |        116 |          1181.80 |      1181.80 |      1199.70 |                  5.00 |                    5.00 |    335 |    19.7733 |
|        1 |        117 |          1181.80 |      1181.80 |      1203.00 |                  5.00 |                    5.00 |    335 |    19.8335 |
|        1 |        118 |          1181.80 |      1181.80 |      1194.30 |                  5.00 |                    5.00 |    335 |    19.8762 |
|        1 |        119 |          1181.80 |      1181.80 |      1197.60 |                  5.00 |                    5.00 |    335 |    19.9484 |
------------------------------------------------------------------------------------------------------------------------------------------------
|  Restart |  Iteration |  Best Feas. Cost |    Best Cost |   Curr. Cost |   Penalty Custom Res. |   Penalty Standard Res. |   Pool |   Time (s) |
------------------------------------------------------------------------------------------------------------------------------------------------
|        1 |        120 |          1181.80 |      1181.80 |      1199.80 |                  5.00 |                    5.00 |    336 |    20.0032 |
|        1 |        121 |          1181.80 |      1181.80 |      1195.10 |                  5.00 |                    5.00 |    336 |    20.0597 |
