instance,seed,bestCost,bestCostBefSP,tempAtBest,timeAtBest,iterAtBest,totalIter,pool,totalTime
c0582,4,1039.636211,1040.6878880012548,9.374267703811749e-5,284.18099999427795,10863,10863,1830,284.18099999427795
r101,5,1009.9522199999998,1011.6776999987268,9.612504128887804e-5,247.7460000514984,940,940,17500,247.7460000514984
c0530,5,635.6223729987313,635.6223729987313,9.17582897841959,178.0809998512268,41582,25287,3550,256.05200004577637
RC1_2_1,4,3331.0632899999996,3345.4400800006806,9.511906968761283e-5,350.21600008010864,496,496,15703,350.21799993515015
cc0534,4,588.7938270000585,588.7938270000585,68.43334634233973,52.30499982833862,359,81560,5413,350.3049998283386
cc0580,4,857.1730870000328,857.1730870000328,69.74366007753639,54.40299987792969,209,32367,3928,350.7349998950958
c0588,4,1071.1811800000041,1071.1811800000041,94.80173122248165,8.336999893188477,8,43224,2892,350.8659999370575
cc0586,5,678.9196900001555,678.9196900001555,90.47150953809971,13.63700008392334,1462,31774,6044,287.3050000667572
c0536,4,651.0871470000058,651.0871470000058,71.82847435775751,51.71399998664856,87,87803,4639,350.603000164032
sn12x,5,663.501847,664.0732669988304,0.0,299.3129999637604,3781,3781,9395,299.3129999637604
C2_2_1,4,1727.35753,1730.4880399996796,8.193166141179916e-5,350.8489999771118,1449,1449,10014,350.8489999771118
sn3x,4,721.270818,721.4010989987354,9.982079564500016e-5,348.5239999294281,3775,3775,18810,348.52500009536743
c0582,5,1039.636211,1042.6092110010147,0.0,315.6840000152588,23745,23745,2011,315.6840000152588
c0531,1,697.8355180000008,697.8355180000008,100.0,0.012000083923339844,1,72215,4833,286.92000007629395
sn12y,1,664.073267,678.7758499990906,9.357428851144798e-5,263.914999961853,3910,3910,8143,263.914999961853
c0583,1,983.3390560000046,983.3390560000046,93.67372966629844,7.230000019073486,694,36699,3425,224.67000007629395
r201,1,666.2041299993215,666.2041299993215,19.84398485626344,209.09400010108948,36,21190,22074,379.3619999885559
RC1_2_1,5,3318.2120399999994,3364.055680000582,4.5161112110828064e-5,350.30999994277954,1063,1063,17329,350.30999994277954
cc0580,5,857.1730870000308,857.1730870000308,98.31943871774209,2.7890000343322754,163,34279,4026,350.47500014305115
c0588,5,1071.1811800000019,1071.1811800000019,99.76442617115478,0.3880000114440918,6,47846,2815,350.47500014305115
cc0534,5,588.7938270000025,588.7938270000025,99.80718819134987,0.29600000381469727,1,85520,5322,350.7739999294281
c0536,5,651.0871470000284,651.0871470000284,98.89829721820085,1.8839998245239258,466,94085,4799,350.62399983406067
C2_2_1,5,1728.5418599999998,1730.1211099996754,9.333205008668704e-5,348.9170000553131,775,775,9131,348.9170000553131
sn3x,5,721.270818,721.4010989999747,9.791038105230309e-5,353.8369998931885,26043,26043,18769,353.8369998931885
cc0587,1,811.95581500006,811.95581500006,73.40738807123923,53.401000022888184,1964,42791,2215,403.19599986076355
c0531,2,697.8355180000008,697.8355180000008,99.94974802442603,0.07800006866455078,3,70621,5026,286.84100008010864
c0583,2,983.3390560000211,983.3390560000211,95.5827962895024,5.0269999504089355,480,21145,2605,224.60899996757507
sn12y,2,663.5018469994958,663.5018469994958,4.2375599172807075,209.35999989509583,29,4722,6279,263.69599986076355
c0537,1,659.166264999952,659.166264999952,59.38167775484446,57.17300009727478,3700,61276,4862,249.15100002288818
c0589,1,1060.500165000086,1060.500165000086,97.31666382492578,3.5899999141693115,2,33387,3080,265.4010000228882
r201,2,666.2041299991895,666.2041299991895,13.08254492288311,240.66100001335144,16608,19421,20397,379.36500000953674
RC1_4_1,1,9684.69178,9757.027019998479,0.0,373.4119999408722,9,9,10408,373.41799998283386
c0583,3,983.3390560000005,983.3390560000005,99.88166032891719,0.14400005340576172,13,28004,3084,225.62800002098083
cc0535,1,563.6967440000117,563.6967440000117,99.32341832202133,1.122999906539917,22,91438,4757,373.8289999961853
sn3y,1,721.270818,721.8483329994541,0.0,350.5939998626709,16567,16567,18252,350.5939998626709
C2_4_1,1,3603.564879999998,3627.513520000287,0.0,414.30200004577637,20,20,6189,414.30200004577637
cc0587,2,811.9558150000755,811.9558150000755,94.45670853138023,10.48800015449524,1613,41655,2245,373.4060001373291
c0531,3,697.8355179999988,697.8355179999988,99.79348938504829,0.2999999523162842,68,67526,4718,297.8550000190735
cc0581,1,740.8539870000021,740.8539870000021,99.83622044218961,0.3680000305175781,16,44594,3024,429.3680000305176
sn12y,3,664.0732669999999,668.4046739996628,9.653311683875969e-5,263.7369999885559,8718,8718,6179,263.7369999885559
c0537,2,659.1662649999594,659.1662649999594,89.60273559139172,13.314000129699707,369,38274,4169,249.1690001487732
c0589,2,1060.5001650001689,1060.5001650001689,95.69100346108432,5.792999982833862,647,21491,2552,266.3789999485016
c0583,4,983.3390560000234,983.3390560000234,55.87979982103385,56.73799991607666,681,28368,2905,224.95700001716614
RC1_4_1,2,9650.900829999999,9667.549049998519,4.627708548322897e-5,373.8359999656677,3,3,9758,373.8369998931885
cc0535,2,563.6967439999993,563.6967439999993,99.93217794490859,0.11800003051757812,5,84538,4800,374.143000125885
c0531,4,697.8355180000005,697.8355180000005,99.8988110493838,0.18499994277954102,15,93330,5692,322.0859999656677
c0537,3,659.1662649998448,659.1662649998448,74.8644004897038,33.58899998664856,4915,49990,4823,249.95199990272522
sn12y,4,663.5018469988688,663.5018469988688,1.07062553611059,236.3420000076294,266,1272,9341,307.5110001564026
sn3y,2,721.270818,721.4010989992101,0.0,363.8949999809265,13214,13214,17274,363.8949999809265
r201,3,666.2041299999999,666.2584699997584,9.475018346440838e-5,454.95700001716614,27655,27655,18500,454.95700001716614
c0589,3,1060.500165000176,1060.500165000176,95.82300138874288,5.61299991607666,197,27600,2931,265.46799993515015
cc0587,3,811.9558150000506,811.9558150000506,95.6718020410053,8.16100001335144,490,46463,2413,372.8269999027252
C2_4_1,2,3588.4127200000003,3604.9046600003326,1.5554150531586786e-5,377.97699999809265,4,4,6504,377.97699999809265
c0583,5,983.3390559999975,983.3390559999975,98.37256939606904,1.8410000801086426,27,24073,2857,224.63300013542175
cc0581,2,740.8539869999855,740.8539869999855,97.83344771619888,4.689000129699707,437,54832,3453,429.5140001773834
c0537,4,659.166265000001,659.166265000001,83.62548762941984,21.319999933242798,544,70409,5125,249.75799989700317
sn12y,5,663.501847,663.6878489990158,9.953781863854831e-5,264.40899991989136,5167,5167,8752,264.4099998474121
c0531,5,697.8355180000009,697.8355180000009,86.46754030179238,20.0939998626709,173,97213,5813,287.18099999427795
c0589,4,1060.5001650000077,1060.5001650000077,99.8011540050241,0.2799999713897705,17,37625,3270,266.5020000934601
RC1_4_1,3,9646.853049999998,9724.624639998026,4.4129905824316384e-5,373.2239999771118,9,9,11559,373.22900009155273
cc0535,3,563.6967439999994,563.6967439999994,99.75243980813512,0.4140000343322754,3,96021,5110,374.1300001144409
sn3y,3,721.270818,721.5699869986645,0.0,384.2479999065399,5169,5169,19925,384.2479999065399
c0584,1,1065.4944489998002,1065.4944489998002,96.21985298373426,5.920000076293945,349,36222,2668,328.2430000305176
r201,4,666.2041299988549,666.2041299988549,22.874945390450634,196.73399996757507,1919,13372,26169,385.845999956131
cc0587,4,811.9558150000148,811.9558150000148,97.82472812237665,4.085000038146973,140,45524,2319,372.8310000896454
C2_4_1,3,3592.3662199999976,3627.053820000376,4.320597818367217e-5,384.38100004196167,27,27,6254,384.3819999694824
c0537,5,659.1662649999803,659.1662649999803,93.05540622312745,8.812000036239624,1129,46398,4177,249.3789999485016
sn1x,1,466.7729209999824,466.7729209999824,98.03263527168725,2.4600000381469727,47,59672,8566,248.75
cc0581,3,740.8539870000026,740.8539870000026,98.6551446004108,2.9129998683929443,134,51939,3350,429.4539999961853
c0532,1,659.3359809999997,659.3359809999997,99.95402187871474,0.07299995422363281,8,66066,2583,286.91100001335144
c0589,5,1060.5001650001977,1060.5001650001977,74.09421313271464,36.95300006866455,539,33953,3011,265.2999999523163
RC1_4_1,4,9643.807539999998,9722.015499998208,9.613531421759509e-5,373.02100014686584,18,18,11289,373.02100014686584
c0584,2,1065.49444899993,1065.49444899993,97.3845272066399,4.083999872207642,122,42065,2781,344.0350000858307
cc0535,4,563.6967439999992,563.6967439999992,100.0,0.011999845504760742,1,94907,4892,373.38499999046326
sn3y,4,721.2708179985217,721.2708179985217,1.2409865105197568,271.4340000152588,10763,2233,19432,364.58700013160706
sn1x,2,466.7729210000018,466.7729210000018,99.14769417836105,1.066999912261963,5,68292,11848,254.70899987220764
r201,5,666.2041299990397,666.2041299990397,31.25587842923419,166.25800013542175,6720,19672,27298,380.4500000476837
c0538,1,719.4747670000021,719.4747670000021,99.95026344848233,0.07599997520446777,21,80548,4765,293.79299998283386
cc0587,5,811.9558150001504,811.9558150001504,87.71267061853474,23.66000008583069,58,46343,2355,372.6119999885559
C2_4_1,4,3623.4119899999996,3640.3384000003434,7.142208333716076e-5,419.1010000705719,368,368,6597,419.1010000705719
c0532,2,659.3359810000037,659.3359810000037,99.76464776053791,0.34399986267089844,39,66776,2833,286.8789999485016
cc0530,1,616.5203610000044,616.5203610000044,98.95007139985968,1.6449999809265137,38,68288,6204,312.49399995803833
cc0581,4,740.8539869999968,740.8539869999968,99.84598757408234,0.3340001106262207,1,50598,3364,429.510999917984
sn1x,3,466.77292100000153,466.77292100000153,99.7867825045233,0.2669999599456787,10,85475,11513,249.10700011253357
rc101,1,1059.32238,1059.8376899992763,9.824643856796177e-5,256.79100012779236,2292,2292,13054,256.79100012779236
c0584,3,1065.4944489999698,1065.4944489999698,86.4337037835931,21.799000024795532,80,36813,2573,310.00600004196167
RC1_4_1,5,9653.738019999999,9706.822789998174,1.1460888202678458e-5,373.2569999694824,27,27,10073,373.2579998970032
cc0588,1,767.525977999982,767.525977999982,99.51350683977563,0.7549998760223389,17,35738,3518,324.7569999694824
c0538,2,719.4747669999994,719.4747669999994,99.97955883055081,0.03500008583068848,3,94064,5096,328.12400007247925
cc0535,5,563.6967440000059,563.6967440000059,87.41247704079782,21.48799991607666,225,88368,4744,373.94000005722046
sn3y,5,721.2708179986522,721.2708179986522,1.5189987401263272,267.8090000152588,927,3265,17518,366.8550000190735
c0532,3,659.3359810000021,659.3359810000021,99.86348973296599,0.2070000171661377,61,70621,2742,286.9059998989105
C2_4_1,5,3593.02779999998,3611.9878900003155,6.095335342298599e-5,376.84100008010864,15,15,6927,376.8420000076294
cc0530,2,616.5203610000015,616.5203610000015,99.94999994932796,0.08500003814697266,1,76164,6634,312.92700004577637
sn1x,4,466.7729210000023,466.7729210000023,99.80045393153793,0.25499987602233887,15,70132,9588,248.8659999370575
rc101,2,1059.3223799999998,1059.7033799993794,9.746521409177297e-5,256.50300002098083,1567,1567,12322,256.50300002098083
c0584,4,1065.494448999835,1065.494448999835,95.66223751417242,6.806999921798706,370,34635,2594,309.8860001564026
cc0581,5,740.8539869999655,740.8539869999655,96.19853673317303,8.257000207901001,1035,55004,3402,429.4470000267029
c0538,3,719.4747669999994,719.4747669999994,99.90871215664328,0.1400001049041748,10,101973,5247,294.614000082016
cc0588,2,767.5259779999365,767.5259779999365,89.39838986636204,16.65500020980835,348,41475,3695,305.4010000228882
cc0536,1,499.0515189999944,499.0515189999944,89.32833627046665,16.984999895095825,33,91077,10500,311.61500000953674
c0532,4,659.335981000004,659.335981000004,99.72220258215087,0.4070000648498535,6,94791,3217,286.9360001087189
sn4x,1,853.639459,855.537400999504,9.495267187747269e-5,355.0150001049042,2402,2402,18661,355.0150001049042
R1_2_1,1,3367.5394499999998,3405.489880001481,6.671444420333595e-5,315.97900009155273,53,53,18451,315.97900009155273
rc101,3,1059.32238,1059.7461399993151,0.0,255.2079999446869,3741,3741,13658,255.2079999446869
sn1x,5,466.7729209999959,466.7729209999959,99.0627441845474,1.1710000038146973,11,82718,13648,288.7260000705719
RC2_2_1,1,1559.9974499999998,1576.2500899997347,0.0,435.73200011253357,1291,1291,10929,435.7330000400543
cc0530,3,616.5203610000005,616.5203610000005,98.6785833858151,2.073000192642212,405,77266,7086,312.90300011634827
c0584,5,1065.49444899982,1065.49444899982,96.07618484265161,6.148999929428101,909,35689,2702,309.93499994277954
