instance,seed,bestCost,bestCostBefSP,tempAtBest,timeAtBest,iterAtBest,totalIter,pool,totalTime
PR07,3,1073.62528931635,1073.62528931635,59.46087755757219,98.93499994277954,1547,8518,1681,432.12800002098083
P03,3,640.6519668230915,641.1859553983777,9.430569465354808e-5,449.9800000190735,6815,6815,2210,449.9800000190735
PR05,1,2312.9061264766287,2337.2609710885154,4.603245545298229e-5,1442.680999994278,1086,1086,5056,1442.6820001602173
PR01,5,861.3186357598945,861.3186357598945,99.36766932033123,0.9580001831054688,6,15513,1288,288.1160001754761
P09,1,3866.950176831563,3931.4162470954375,6.227680763788841e-5,1493.5950000286102,1,1,4645,1493.595999956131
P11,1,3558.965711634881,3603.7488357120296,4.661214967366797e-5,1494.0480000972748,1059,1059,3731,1494.0510001182556
P01,5,576.8656874818433,576.8656874818433,95.81995292414798,6.4100000858306885,104,8601,1044,300.18099999427795
PR03,2,1775.7752518501982,1779.413184326278,9.362353483424992e-5,863.6870000362396,500,500,3295,863.6879999637604
PR07,4,1073.6252893163369,1073.6252893163369,80.00681338056454,45.64699983596802,683,9044,1766,431.96299982070923
P03,4,640.6519668230916,641.185955398381,9.517081705918843e-5,450.45800018310547,7326,7326,2417,450.45800018310547
P05,3,750.3886210937774,751.1535043451263,7.05599855804391e-5,601.0110001564026,2966,2966,4207,601.0120000839233
P02,1,473.5332565139214,473.5332565139214,72.04897335031785,45.378000020980835,1512,9861,2120,301.20899987220764
P07,3,883.712533104261,888.6489019619414,0.0,602.6599998474121,1260,1260,5573,602.6599998474121
P15,2,2505.4172369709786,2505.4172369709786,90.61473235974535,46.3439998626709,1,4785,2125,959.6449999809265
PR02,1,1275.397365366688,1275.6108081583952,7.385257605671539e-5,576.7779998779297,5160,5160,3018,576.779000043869
P02,2,473.5332565139217,473.5332565139217,86.11901868193799,21.630000114440918,565,10622,2147,300.2350001335144
PR07,5,1073.6252893163564,1073.6252893163564,86.02991905963613,31.340999841690063,533,9685,1808,431.8199999332428
P03,5,640.6519668230915,641.1859553983779,8.587113389191041e-5,450.47900009155273,7279,7279,2339,450.47900009155273
P02,3,473.53325651393607,473.53325651393607,63.348334078380795,61.275999784469604,538,9322,2247,300.3089997768402
P05,4,750.5138290038475,751.2557778190012,9.312249877294275e-5,600.944000005722,2712,2712,4593,600.9449999332428
P07,4,881.967423852029,883.913708546592,9.636694007555068e-5,600.2409999370575,1000,1000,5630,600.2419998645782
PR09,2,2136.768826285244,2155.5011797999837,8.247891826216241e-5,1295.1900000572205,109,109,4264,1295.1900000572205
PR03,3,1774.8939016864679,1774.8939016864679,9.450429524354865,598.7030000686646,12,1397,2922,863.75
PR02,2,1275.3973653666762,1275.3973653666762,42.47101746351499,200.7059998512268,1418,4486,2459,575.680999994278
P02,4,473.53325651391884,473.53325651391884,90.96644956836624,13.902000188827515,287,11036,2240,300.0069999694824
P04,1,999.2136846300443,1003.9781741452856,7.627109056684457e-5,601.8929998874664,749,749,6176,601.8929998874664
P15,3,2505.4172369709727,2505.4172369709727,89.218454159338,53.4469997882843,64,4667,1970,959.5099999904633
PR05,2,2315.8087983544265,2323.820574369296,6.511595373609955e-5,1442.832999944687,111,111,4953,1442.8339998722076
P11,2,3555.5674034993444,3568.7343525982665,7.889341276734715e-5,1494.7249999046326,130,130,4135,1497.8139998912811
P09,2,3896.523481897391,3927.2699459327887,8.706114726174539e-5,1497.9470000267029,13,13,4821,1497.9479999542236
P02,5,473.5332565139209,473.5332565139209,89.20550632348863,16.69099998474121,492,10594,2229,300.47900009155273
P05,5,750.592400901274,751.1535043451239,7.281780164931281e-5,601.2179999351501,4940,4940,4278,601.2189998626709
P07,5,883.099152692654,888.7964200486192,4.225002272924112e-5,600.6539998054504,1410,1410,5638,600.6549999713898
PR08,1,1647.380328208047,1652.5727696264735,9.542397690528475e-5,863.9839999675751,2250,2250,3847,863.9839999675751
