Problem,Set,Instance,BKS,Ref,BestRef,AvgRef,TimeRef,BestGeneric,AvgGeneric,TimeGeneric,N,TStarGeneric
VRPSPD,SN,sn12y,662.22,FSPD100k,662.22,662.22,26.361,663.5018,663.7304,272.6538,100,247.5526
VRPSPD,SN,sn1x,466.77,FSPD100k,466.7747,466.7747,24.844,466.7729,466.7729,258.0316,50,1.044
VRPSPD,SN,sn1y,466.77,FSPD100k,466.7747,466.7747,24.477,466.7729,466.7729,245.3906,50,1.6848
VRPSPD,SN,sn2x,684.21,FSPD100k,684.21,684.4563,22.101,684.2115,684.3465,233.6644,75,218.9876
VRPSPD,SN,sn2y,684.21,FSPD100k,684.21,684.3674,23.087,684.2115,684.2115,261.9272,75,242.0698
VRPSPD,SN,sn3x,721.27,FSPD100k,721.27,721.2844,31.228,721.2708,721.2708,361.3096,100,361.3092
VRPSPD,SN,sn3y,721.27,FSPD100k,721.27,721.3133,30.545,721.2708,721.2708,366.0358,100,327.596
VRPSPD,SN,sn4x,852.46,FSPD100k,852.46,852.6816,31.608,852.4626,853.0196,332.5406,150,332.5406
VRPSPD,SN,sn4y,852.46,FSPD100k,852.46,852.6475,33.176,852.4626,852.9318,347.0284,150,347.0282
VRPSPD,SN,sn5x,1029.25,FSPD100k,1029.25,1029.3118,33.524,1029.2482,1030.2614,356.1212,199,356.1206
VRPSPD,SN,sn5y,1029.25,FSPD100k,1029.25,1029.425,32.966,1029.2482,1030.0698,371.6598,199,371.6598
RiskVRP,O,O10,26.8,ILS-SP,26.8,26.8,0.1,26.8324,26.8324,2.3412,9,0.103
RiskVRP,O,O103,221.7,ILS-SP,221.7,221.7,10.0,221.6624,221.6624,100.039,102,11.3746
RiskVRP,O,O105,231.5,ILS-SP,231.5,231.5,9.9,231.548,231.548,98.828,104,4.1782
RiskVRP,O,O125,259.8,ILS-SP,259.8,259.8,19.0,259.7771,259.7771,197.0256,124,31.2348
RiskVRP,O,O127,269.7,ILS-SP,269.7,269.7,17.2,269.6686,269.6686,171.5512,126,31.559
RiskVRP,O,O13,35.8,ILS-SP,35.8,35.8,0.1,35.7771,35.7771,1.0092,12,0.0002
RiskVRP,O,O137,295.6,ILS-SP,295.6,295.6,19.2,295.5545,295.5545,191.4802,136,101.9626
RiskVRP,O,O145,320.4,ILS-SP,320.8,322.2,195.1,320.9492,323.53,2027.5704,144,1964.8112
RiskVRP,O,O16,38.8,ILS-SP,38.8,38.8,0.2,38.8322,38.8322,2.006,15,0.0008
RiskVRP,O,O169,359.5,ILS-SP,359.5,359.5,32.5,359.5497,359.5497,332.5088,168,149.1608
RiskVRP,O,O187,389.7,ILS-SP,389.7,389.7,46.5,389.6668,389.6668,463.7162,186,266.1168
RiskVRP,O,O19,52.4,ILS-SP,52.4,52.4,0.2,52.4397,52.4397,3.1282,18,0.1326
RiskVRP,O,O209,461.7,ILS-SP,461.7,461.7,51.1,461.6943,461.6943,509.659,208,210.0872
RiskVRP,O,O21,51.8,ILS-SP,51.8,51.8,0.3,51.7771,51.7771,3.003,20,0.0042
RiskVRP,O,O249,519.5,ILS-SP,519.5,519.5,91.1,519.5489,519.5489,920.9658,248,846.7316
RiskVRP,O,O25,64.9,ILS-SP,64.9,64.9,0.4,64.8772,64.8772,4.5144,24,0.1556
RiskVRP,O,O273,589.7,ILS-SP,589.7,589.7,97.5,589.6897,589.6897,982.1878,272,677.101
RiskVRP,O,O28,62.8,ILS-SP,62.8,62.8,0.6,62.8319,62.8319,5.997,27,0.0134
RiskVRP,O,O31,77.7,ILS-SP,77.7,77.7,0.6,77.6645,77.6645,6.0372,30,0.0146
RiskVRP,O,O337,717.7,ILS-SP,717.7,717.7,168.9,717.69,718.0213,1699.6644,336,1697.8714
RiskVRP,O,O37,83.8,ILS-SP,83.8,83.8,1.0,83.7771,83.7771,9.9842,36,0.0678
RiskVRP,O,O40,86.8,ILS-SP,86.8,86.8,1.3,86.8315,86.8315,21.5198,39,0.1116
RiskVRP,O,O41,102.0,ILS-SP,102.0,102.0,1.1,101.9825,101.9825,10.9934,40,0.0536
RiskVRP,O,O49,101.3,ILS-SP,101.3,101.3,1.5,101.2911,101.2911,15.0336,48,0.4104
RiskVRP,O,O52,110.8,ILS-SP,110.8,110.8,2.4,110.8312,110.8312,23.9982,51,0.8288
RiskVRP,O,O53,115.8,ILS-SP,115.8,115.8,2.2,115.7771,115.7771,22.0908,52,0.4172
RiskVRP,O,O55,125.7,ILS-SP,125.7,125.7,2.2,125.6638,125.6638,22.2164,54,0.2736
RiskVRP,O,O64,134.8,ILS-SP,134.8,134.8,4.1,134.8343,134.8343,41.3178,63,1.1724
RiskVRP,O,O69,147.8,ILS-SP,147.8,147.8,4.2,147.7771,147.7771,42.1616,68,2.8276
RiskVRP,O,O73,167.6,ILS-SP,167.6,167.6,4.2,167.5528,167.5528,42.0078,72,0.5762
RiskVRP,O,O79,173.7,ILS-SP,173.7,173.7,5.3,173.6631,173.6631,52.8686,78,2.6902
RiskVRP,O,O81,170.9,ILS-SP,170.9,171.0,8.2,170.9448,170.9529,95.8998,80,95.8992
RiskVRP,O,O85,179.8,ILS-SP,179.8,179.8,7.0,179.7771,179.7771,71.5316,84,4.612
RiskVRP,O,O94,194.8,ILS-SP,194.8,194.8,10.8,194.8334,194.8334,107.7724,93,18.6496
RiskVRP,S,S10,20.0,ILS-SP,20.0,20.0,0.1,19.9839,19.9839,2.3234,9,0.1192
RiskVRP,S,S103,246.8,ILS-SP,246.8,246.8,10.2,246.7614,246.7614,102.054,102,0.5934
RiskVRP,S,S105,240.4,ILS-SP,240.4,240.4,13.7,240.4186,240.5139,141.4672,104,114.928
RiskVRP,S,S125,283.3,ILS-SP,283.3,283.3,17.7,283.3071,283.3071,188.479,124,6.2316
RiskVRP,S,S127,306.6,ILS-SP,306.6,306.6,17.1,306.6397,306.6397,170.6064,126,3.0402
RiskVRP,S,S13,26.6,ILS-SP,26.6,26.6,0.1,26.6458,26.6458,1.0454,12,0.0004
RiskVRP,S,S137,333.5,ILS-SP,333.5,333.5,25.8,333.5315,333.5404,272.5342,136,272.5286
RiskVRP,S,S145,264.6,ILS-SP,264.9,265.6,36.4,264.7789,264.9797,401.6874,144,401.6866
RiskVRP,S,S16,35.4,ILS-SP,35.4,35.4,0.2,35.4117,35.4117,2.0074,15,0.0014
RiskVRP,S,S169,408.5,ILS-SP,408.5,408.5,37.7,408.4915,409.7645,379.3668,168,150.1404
RiskVRP,S,S187,424.8,ILS-SP,424.8,424.8,44.9,424.8352,424.8352,447.8134,186,336.8328
RiskVRP,S,S19,38.2,ILS-SP,38.2,38.2,0.2,38.1778,38.1778,2.1962,18,0.0018
RiskVRP,S,S209,427.5,ILS-SP,428.4,432.3,174.2,427.4624,428.4209,1790.742,208,1790.741
RiskVRP,S,S21,47.2,ILS-SP,47.2,47.2,0.3,47.2161,47.2161,3.008,20,0.0022
RiskVRP,S,S249,598.6,ILS-SP,598.6,598.6,94.0,599.7109,599.9286,952.4822,248,229.2048
RiskVRP,S,S25,49.7,ILS-SP,49.7,49.7,0.4,49.7184,49.7184,4.3162,24,2.3564
RiskVRP,S,S273,612.4,ILS-SP,619.3,625.7,270.3,612.2366,613.6833,2755.9448,272,2150.814
RiskVRP,S,S28,61.8,ILS-SP,61.8,61.8,0.6,61.7956,61.7956,5.9934,27,0.007
RiskVRP,S,S31,70.0,ILS-SP,70.0,70.0,0.6,70.0249,70.0249,6.1408,30,0.203
RiskVRP,S,S337,778.1,ILS-SP,778.1,790.4,336.1,762.6204,765.9867,3412.1578,336,2722.6358
RiskVRP,S,S37,82.4,ILS-SP,82.4,82.4,0.9,82.3941,82.3941,8.9854,36,0.0148
RiskVRP,S,S40,98.6,ILS-SP,98.6,98.6,1.2,98.593,98.593,11.976,39,0.0396
RiskVRP,S,S41,88.0,ILS-SP,88.0,88.0,1.2,87.9954,87.9954,12.3066,40,10.1072
RiskVRP,S,S49,81.1,ILS-SP,81.1,81.1,1.6,81.0712,81.0712,16.2384,48,16.2384
RiskVRP,S,S52,118.7,ILS-SP,118.7,118.7,2.2,118.7109,118.7109,21.9796,51,0.2276
