instance,seed,cost,time,pool
cc0539,10,578.2452709999999,3.351325175,618
cc0580,1,857.1730869999999,4.214026709,821
cc0580,2,857.1730869999999,5.54193519,1115
cc0580,3,857.173087,4.991593541,949
cc0580,4,857.1730869999999,4.296676667,808
cc0580,5,857.173087,5.308128648,993
cc0580,6,857.1730869999999,5.021051944,995
cc0580,7,857.1730869999999,4.322187084,860
cc0580,8,857.1730869999999,5.547772169,1040
cc0580,9,857.1730869999999,4.198637406,836
cc0580,10,857.1730869999999,4.895139328,954
cc0581,1,740.853987,3.941569431,729
cc0581,2,740.853987,3.674588537,693
cc0581,3,740.853987,3.816257897,706
cc0581,4,740.8539869999998,4.951000256,712
cc0581,5,740.853987,3.579755893,763
cc0581,6,740.8539870000001,3.763431443,746
cc0581,7,740.853987,3.64259124,752
cc0581,8,740.853987,3.587368258,742
cc0581,9,740.853987,3.723265403,730
cc0581,10,740.853987,3.823627333,755
cc0582,1,712.88833,4.243410496,725
cc0582,2,712.88833,4.292681065,763
cc0582,3,712.889547,4.233429253,781
cc0582,4,712.88833,4.137954303,766
cc0582,5,712.88833,4.215505226,732
cc0582,6,712.88833,4.297596009,798
cc0582,7,712.8883299999999,4.089073208,723
cc0582,8,712.88833,4.370367506,726
cc0582,9,712.88833,4.040149907,755
cc0582,10,712.88833,4.264675896,783
cc0583,1,811.067033,5.628520339,781
cc0583,2,811.067033,4.210532296,704
cc0583,3,811.067033,5.922783877,818
cc0583,4,811.0670329999999,5.268924545,774
cc0583,5,811.067033,3.988818633,608
cc0583,6,811.067033,6.266150823,836
cc0583,7,811.067033,7.117543415,899
cc0583,8,811.067033,4.76336694,694
cc0583,9,811.067033,4.687675196,792
cc0583,10,811.067033,4.151415509,619
cc0584,1,772.253292,4.275675466,686
cc0584,2,772.2532920000001,4.419694962,741
cc0584,3,772.2532920000001,3.927652174,738
cc0584,4,772.2532920000001,4.255516772,778
cc0584,5,772.2532920000001,3.894604321,714
cc0584,6,772.253292,4.802357962,792
cc0584,7,772.2532920000001,3.789309575,633
cc0584,8,772.2532920000001,4.014300613,766
cc0584,9,772.2532920000001,3.957242159,688
cc0584,10,772.2532920000001,4.161191066,713
cc0585,1,754.88093,4.580413189,802
cc0585,2,754.88093,5.370523844,802
cc0585,3,754.88093,5.564397004,897
cc0585,4,754.8809299999973,5.387120356,813
cc0585,5,754.88093,6.440886543,912
cc0585,6,754.88093,4.430307464,714
cc0585,7,756.9056059999999,4.802194111,760
cc0585,8,754.88093,5.66032991,754
cc0585,9,754.88093,6.054843227,942
cc0585,10,754.88093,4.950626247,802
cc0586,1,678.91969,4.905550947,1440
cc0586,2,678.992105,4.775080341,1512
cc0586,3,678.91969,4.781074896,1358
cc0586,4,678.91969,4.42515288,1427
cc0586,5,678.91969,4.39491455,1390
cc0586,6,678.91969,4.52299638,1405
cc0586,7,678.91969,4.436545594,1383
cc0586,8,678.91969,5.489183022,1431
cc0586,9,678.992105,5.073105589,1500
cc0586,10,678.91969,5.07738322,1404
cc0587,1,811.955815,5.74918006,758
