instance,BKS,Best ub,Avg ub,Avg time,Results Best ub,Results Avg ub,Results Avg time,Gap Best ub,Gap Avg ub,Gap Results Best,Gap Results Avg
O81,170.9,170.9,171.0,8.2,170.9978,171.0749,10.575,0.0,0.0585,0.0572,0.1023
O85,179.8,179.8,179.8,7.0,179.7771,179.7771,4.067,0.0,0.0,-0.0127,-0.0127
O94,194.8,194.8,194.8,10.8,194.8334,196.4902,5.2481,0.0,0.0,0.0171,0.8677
O103,221.7,221.7,221.7,10.0,221.6624,221.6624,6.1253,0.0,0.0,-0.017,-0.017
O105,231.5,231.5,231.5,9.9,231.548,231.548,17.4697,0.0,0.0,0.0207,0.0207
O125,259.8,259.8,259.8,19.0,259.7771,261.7653,8.3639,0.0,0.0,-0.0088,0.7565
O127,269.7,269.7,269.7,17.2,269.6686,269.6686,8.7607,0.0,0.0,-0.0116,-0.0116
O137,295.6,295.6,295.6,19.2,295.5545,296.5487,13.308,0.0,0.0,-0.0154,0.3209
O145,320.4,320.8,322.2,195.1,322.9669,324.6861,25.9001,0.1248,0.5618,0.8012,1.3377
O169,359.5,359.5,359.5,32.5,359.5497,360.8752,18.8542,0.0,0.0,0.0138,0.3825
O187,389.7,389.7,389.7,46.5,389.6668,392.3178,17.6973,0.0,0.0,-0.0085,0.6717
O209,461.7,461.7,461.7,51.1,463.0884,467.7083,45.9344,0.0,0.0,0.3007,1.3013
O249,519.5,519.5,519.5,91.1,524.5198,527.3741,39.5459,0.0,0.0,0.9663,1.5157
O273,589.7,589.7,589.7,97.5,589.6897,592.806,98.2238,0.0,0.0,-0.0017,0.5267
O337,717.7,717.7,717.7,168.9,722.6586,726.9343,100.8275,0.0,0.0,0.6909,1.2867
S10,20.0,20.0,20.0,0.1,19.9839,19.9839,0.1239,0.0,0.0,-0.0805,-0.0805
S13,26.6,26.6,26.6,0.1,26.6458,26.6458,0.2038,0.0,0.0,0.1722,0.1722
S16,35.4,35.4,35.4,0.2,35.4117,35.4117,0.276,0.0,0.0,0.0331,0.0331
S19,38.2,38.2,38.2,0.2,38.1778,38.1778,0.4081,0.0,0.0,-0.0581,-0.0581
S21,47.2,47.2,47.2,0.3,47.2161,47.2161,0.4386,0.0,0.0,0.0341,0.0341
S25,49.7,49.7,49.7,0.4,49.7184,49.7186,0.6661,0.0,0.0,0.037,0.0374
S28,61.8,61.8,61.8,0.6,61.7956,61.7956,0.68,0.0,0.0,-0.0071,-0.0071
S31,70.0,70.0,70.0,0.6,70.0249,70.0249,1.1133,0.0,0.0,0.0356,0.0356
S37,82.4,82.4,82.4,0.9,82.3941,82.3941,1.2731,0.0,0.0,-0.0072,-0.0072
S40,98.6,98.6,98.6,1.2,98.593,98.593,1.2577,0.0,0.0,-0.0071,-0.0071
S41,88.0,88.0,88.0,1.2,87.9954,87.9954,1.7722,0.0,0.0,-0.0052,-0.0052
S49,81.1,81.1,81.1,1.6,81.0712,81.0712,3.2549,0.0,0.0,-0.0355,-0.0355
S52,118.7,118.7,118.7,2.2,118.7109,118.7109,2.4526,0.0,0.0,0.0092,0.0092
S53,123.1,123.1,123.1,2.1,123.1106,123.1106,2.8838,0.0,0.0,0.0086,0.0086
S55,132.9,132.9,132.9,2.4,132.928,132.928,2.6922,0.0,0.0,0.0211,0.0211
S64,150.6,150.6,150.6,3.7,150.5969,150.5969,3.7419,0.0,0.0,-0.0021,-0.0021
S69,166.1,166.1,166.1,3.9,166.1177,166.1177,3.5303,0.0,0.0,0.0107,0.0107
S73,161.1,161.1,161.1,6.5,162.2919,162.3214,6.6283,0.0,0.0,0.7399,0.7582
S79,197.2,197.2,197.2,5.3,197.1617,197.1617,7.3825,0.0,0.0,-0.0194,-0.0194
S81,133.4,133.4,133.4,6.6,133.4085,133.4281,6.5998,0.0,0.0,0.0064,0.0211
S85,201.2,201.2,201.2,6.5,201.1819,201.1819,7.2762,0.0,0.0,-0.009,-0.009
S94,212.5,212.5,212.5,9.7,212.4814,212.4814,6.9281,0.0,0.0,-0.0088,-0.0088
S103,246.8,246.8,246.8,10.2,246.7614,246.7614,10.5211,0.0,0.0,-0.0156,-0.0156
S105,240.4,240.4,240.4,13.7,240.8952,242.7764,10.9053,0.0,0.0,0.206,0.9885
S125,283.3,283.3,283.3,17.7,283.3071,283.3071,15.1926,0.0,0.0,0.0025,0.0025
S127,306.6,306.6,306.6,17.1,306.6397,306.6397,15.4795,0.0,0.0,0.0129,0.0129
S137,333.5,333.5,333.5,25.8,333.6072,336.8343,15.2273,0.0,0.0,0.0321,0.9998
S145,264.6,264.9,265.6,36.4,265.8789,266.3074,22.7241,0.1134,0.3779,0.4833,0.6453
S169,408.5,408.5,408.5,37.7,409.4711,410.123,24.9284,0.0,0.0,0.2377,0.3973
S187,424.8,424.8,424.8,44.9,424.8352,424.8352,30.3866,0.0,0.0,0.0083,0.0083
S209,427.5,428.4,432.3,174.2,429.7135,434.576,38.386,0.2105,1.1228,0.5178,1.6552
S249,598.6,598.6,598.6,94.0,599.983,599.983,62.1063,0.0,0.0,0.231,0.231
S273,612.4,619.3,625.7,270.3,613.0327,615.0089,61.7872,1.1267,2.1718,0.1033,0.426
S337,778.1,778.1,790.4,336.1,766.5388,775.5806,111.3204,0.0,1.5808,-1.4858,-0.3238
