instance,seed,bestCost,bestCostBefSP,tempAtBest,timeAtBest,iterAtBest,totalIter,pool,totalTime
c50_16fsmfd,2,3168.915379212797,3176.2908281871505,7.431627724468294e-5,262.17500019073486,74,74,1459,262.17500019073486
c50_14fsmf,1,9120.110320563948,9124.669028989592,3.131316237195253e-5,308.3420000076294,841,841,3669,308.3420000076294
c50_13fsmf,4,2406.360716084736,2413.7847233619123,7.09271817800498e-5,273.05099987983704,603,603,3229,273.05099987983704
c50_16fsmd,1,1131.0008367457217,1131.0008367457217,12.656473811692678,183.71800017356873,1139,1325,1601,287.7740001678467
c100_19fsmfd,4,8662.85615568436,8664.53846124703,5.072011155428353e-5,467.20499992370605,11,11,4470,467.2060000896454
c50_15fsmd,3,999.8235500209464,999.8235500209464,0.11358052901282194,305.2369999885559,548,170,1740,316.1229999065399
c100_19fsmd,3,1109.9271049999197,1127.1604039571412,4.640908107997688e-5,316.2939999103546,0,0,2569,316.2939999103546
c100_20fsmfd,2,4156.822143843765,4246.426597293432,4.0614243096902594e-5,314.0899999141693,35,35,2440,314.0899999141693
c50_16fsmfd,3,3168.915379212797,3179.8801284679676,0.0,283.0720000267029,1096,1096,1274,283.0720000267029
c75_17fsmf,4,1742.3995309518968,1751.0964395839476,9.98773690234574e-5,326.7369999885559,75,75,3570,326.7369999885559
c50_14fsmf,2,9119.031925319012,9124.343065231198,9.56995696036558e-5,308.26399993896484,725,725,3072,308.2649998664856
c50_13fsmf,5,2408.2196145630137,2409.2866018811987,9.344682850215917e-5,289.07299995422363,640,640,3421,289.07299995422363
brandaoN1fsmd,1,2212.653529377651,2240.7012678529645,8.009811679602426e-5,1146.7750000953674,11,11,6726,1146.7760000228882
c75_18fsmd,5,1801.3976989525531,1801.3976989525531,30.04587146540752,267.93699979782104,411,2078,3135,592.1269998550415
brandaoN3fsmd,5,2234.5708162517667,2235.492716648231,6.231986486877574e-5,593.8560001850128,36,36,2804,593.8560001850128
c50_16fsmd,2,1131.0008367460125,1131.0008367460125,98.15659275741034,2.8000001907348633,19,3230,1711,284.9960000514984
brandaoN4fsmd,1,1822.7788904272184,1823.0445581101462,0.0,73.75499987602234,91,91,853,73.75499987602234
c50_15fsmd,4,999.8235500207726,999.8235500207726,84.4012831707929,25.825000047683716,37,3543,2071,316.2020001411438
c100_19fsmd,4,1105.4392363175057,1113.404994152462,1.8027546889059316e-5,316.1870000362396,649,649,2756,316.1870000362396
c50_13fsmfd,1,2964.6452245968726,2964.6452245968726,92.16925327960172,6.66100001335144,1,5033,360,169.83599996566772
c50_16fsmfd,4,3168.9153792127972,3169.3110071471174,7.981929523580494e-5,313.35400009155273,1087,1087,1585,313.3550000190735
c100_20fsmfd,3,4153.112625466101,4252.701636542825,9.365244827394527e-5,314.0699999332428,312,312,2755,314.0699999332428
brandaoN4fsmd,2,1823.044558110214,1832.2080500358302,0.0,72.9980001449585,4,4,377,72.9980001449585
c100_19fsmfd,5,8672.70011989311,8674.171828899418,3.053162121315188e-5,467.1619999408722,376,376,4557,467.1630001068115
c75_17fsmf,5,1736.6533442298467,1746.7809987085902,8.289824611158115e-5,377.2259998321533,328,328,4049,377.22699999809265
c50_14fsmf,3,9121.35031054335,9126.400206633618,0.0,354.14400005340576,1235,1235,3681,354.1449999809265
brandaoN4fsmd,3,1823.044558110214,1832.391497226787,0.0,128.01700019836426,41,41,310,128.01900005340576
c50_13fsmfd,2,2964.6452245968444,2964.6452245968444,94.32973098826696,4.8349997997283936,42,1471,275,165.91799998283386
c50_16fsmd,3,1131.000836745729,1131.000836745729,64.25110519526064,56.75200009346008,699,1026,1299,285.5110001564026
brandaoN4fsmd,4,1822.778890427237,1822.778890427237,0.017826851356968945,71.81200003623962,39,3,744,72.84699988365173
c75_18fsmf,1,2373.628006985752,2379.5574363082255,1.5597980346084783e-18,387.22000002861023,295,295,3340,387.22000002861023
c100_20fsmfd,4,4155.153517846644,4244.548607540078,6.19026012092151e-5,314.0609998703003,48,48,1973,314.0609998703003
c100_19fsmd,5,1106.119809788141,1106.9573535120712,6.891732268571706e-5,374.67199993133545,14,14,1609,374.67199993133545
c50_15fsmd,5,999.8235500208948,999.8235500208948,0.9476942252562804,285.10000014305115,19,480,1447,376.8510000705719
brandaoN4fsmd,5,1822.7788904272184,1825.5868735279382,0.0,107.61300015449524,170,170,616,107.61400008201599
c50_16fsmfd,5,3168.915379212797,3178.9075751852306,0.0,316.6860001087189,288,288,1213,316.6860001087189
c75_17fsmd,1,1039.152475032241,1052.612052009954,0.0,9.249000072479248,33,33,295,9.249000072479248
c50_13fsmfd,3,2964.645224596865,2964.645224596865,99.64850212537505,0.309999942779541,1,3381,331,165.87199997901917
c75_17fsmd,2,1047.4470711608992,1047.4470711608992,2.428117644944905,7.82699990272522,6,15,295,9.149999856948853
c75_17fsmd,3,1050.42065664126,1060.138133875491,0.0,9.196000099182129,37,37,299,9.196000099182129
c75_17fsmd,4,1049.7607785841305,1049.7607785841305,10.651975288524724,6.18999981880188,4,31,283,9.23799991607666
c75_17fsmd,5,1051.8197761078493,1055.7083800919143,7.728520460058695e-5,9.1489999294281,3,3,306,9.1489999294281
c75_17fsmfd,1,2008.8224107672163,2012.597222002157,9.822785514747134e-5,247.71399998664856,117,117,3554,247.71399998664856
c50_14fsmf,4,9120.110320563948,9121.694079123397,7.844078207912408e-5,291.77699995040894,199,199,2250,291.77800011634827
c50_15fsmf,1,2586.369504899097,2586.369504899097,93.16941558294381,3.0490000247955322,2,1076,1674,110.93099999427795
c50_16fsmd,4,1131.0008367459614,1131.0008367459614,95.41404338193884,6.674999952316284,1,3125,1792,285.0239999294281
c50_13fsmfd,4,2964.6452245968353,2964.6452245968353,69.98531955038203,27.147000074386597,481,3943,362,165.86300015449524
c50_15fsmf,2,2586.3695048990994,2587.3846263410214,0.0,88.5149998664856,574,574,1671,88.5149998664856
c100_20fsmfd,5,4155.153517846643,4241.833478609338,0.0,314.31699991226196,28,28,3018,314.3179998397827
c50_15fsmf,3,2586.3695048990994,2586.43824947914,0.0,113.58599996566772,260,260,1494,113.58599996566772
c100_20fsmd,1,1532.6603156410654,1535.9177927339424,3.317398514571845e-5,554.6129999160767,203,203,3758,554.6129999160767
c75_18fsmf,2,2369.646372486023,2383.439965333553,0.0,385.7130000591278,840,840,4317,385.7130000591278
c75_17fsmfd,2,2006.4845502270423,2021.5985895636475,2.982429840504269e-5,249.1119999885559,139,139,3538,249.1119999885559
c50_13fsmfd,5,2964.6452245967985,2964.6452245967985,72.42727728820915,24.772000074386597,169,3010,340,165.8529999256134
c100_19fsmf,1,8665.23135533779,8672.334305982084,1.716590717352403e-5,414.7339999675751,610,610,4413,414.7339999675751
c50_14fsmf,5,9121.350310543248,9121.350310543248,0.15615860753398195,238.64199995994568,157,113,3255,361.7149999141693
c50_15fsmf,4,2586.3695048990994,2587.3360490891423,0.0,159.98600006103516,61,61,1223,159.98600006103516
c75_17fsmf,1,1743.4594522147336,1745.3248199147918,0.0,427.6419999599457,294,294,4429,427.643000125885
c50_16fsmd,5,1131.0008367460812,1131.0008367460812,85.90643495198121,20.902999877929688,300,2184,1681,328.9409999847412
c50_14fsmfd,1,9134.610575363606,9139.835476353965,0.0,10.17900013923645,71,71,526,10.17900013923645
c50_14fsmfd,2,9135.875247875747,9145.833115737641,0.0,10.29699993133545,57,57,541,10.29699993133545
c50_14fsmfd,3,9646.317725649667,9646.85291061314,0.0,9.952000141143799,2,2,442,9.95300006866455
c50_14fsmfd,4,9133.637862692447,9135.663369056263,0.0,10.052000045776367,8,8,454,10.052000045776367
c50_14fsmfd,5,9646.317725649667,9647.257092618716,0.0,9.88699984550476,48,48,413,9.88699984550476
c50_13fsmd,1,1491.859877094601,1491.859877094601,4.3479518638807315,188.54699993133545,511,987,948,237.90599989891052
c50_15fsmf,5,2586.3695048990467,2586.3695048990467,2.9680429885358097,71.5440001487732,643,285,1935,88.19099998474121
c75_17fsmfd,3,2014.1835477189638,2026.8105950478084,6.810252005085262e-5,249.30099987983704,395,395,2959,249.30099987983704
c50_14fsmd,1,603.2128692192313,603.2128692192313,93.52482026485174,8.230000019073486,16,2385,1611,245.45700001716614
brandaoN1fsmd,2,2213.8158087580887,2229.2519585171403,7.563413780169836e-5,1146.4430000782013,510,510,5962,1146.444000005722
c50_16fsmf,1,2724.3296481375096,2742.9723326917383,6.731515884053812e-5,189.22699999809265,445,445,4329,189.22699999809265
c75_18fsmf,3,2369.6463724860223,2377.662964057695,4.0842077485488376e-5,384.0610001087189,185,185,4758,384.0610001087189
c50_15fsmfd,1,2634.963416280793,2635.2099132627177,7.800036908574898e-5,214.6529998779297,2282,2282,1492,214.6529998779297
c100_19fsmf,2,8671.317310142327,8671.317310142327,0.002388531491547478,353.2519998550415,74,7,5183,414.57099986076355
c50_13fsmd,2,1491.8598770945077,1491.8598770945077,14.633115113985115,147.08399987220764,141,1546,1295,277.6619999408722
c100_20fsmd,2,1532.6603156410656,1537.6544975087033,0.0,514.6260001659393,107,107,4488,514.6260001659393
c75_17fsmfd,4,2004.4814470145088,2023.7703398932586,0.0,263.5810000896454,208,208,4866,263.5810000896454
c50_14fsmd,2,603.2128692192393,603.2128692192393,95.78299204272759,5.296999931335449,30,3445,2305,245.62199997901917
c50_16fsmf,2,2726.6435978093687,2743.442623348036,6.644383731436182e-5,189.69900012016296,108,108,3596,189.69900012016296
c50_15fsmfd,2,2634.963416280793,2635.209913262669,9.447108260492038e-5,214.42600011825562,814,814,1207,214.42600011825562
c50_16fsmf,3,2725.661080345228,2741.4993452954873,2.5080007119481474e-5,189.54299998283386,129,129,4388,189.54299998283386
c50_13fsmd,3,1491.8598770946273,1491.8598770946273,61.67691143914653,51.151999950408936,18,3586,1256,238.0220000743866
c75_17fsmfd,5,2004.4814470145088,2019.4875203960112,7.424416388335314e-5,247.9449999332428,844,844,5103,247.9449999332428
c75_18fsmf,4,2369.646372486023,2376.4871248214895,8.596752677625749e-5,382.8329999446869,1050,1050,5789,382.8340001106262
c50_14fsmd,3,603.2128692192395,603.2128692192395,99.03331728856072,1.2799999713897705,19,4589,2501,245.46900010108948
c100_19fsmf,3,8667.260252955912,8667.260252955912,0.28331316628579173,336.0809998512268,84,91,6358,414.8529999256134
c50_16fsmf,4,2729.322590565798,2741.499345295545,0.0,200.69400000572205,72,72,4212,200.69400000572205
